Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,68.0,1.0,68.0,68.0,0.1,32.50899999999998,0.0,0.0,0.015449285507202148,,,,,,,,,,,,,,,,,,,,,14.539188816968126,10.297590293763484,31.58347051801167,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,107.0,2.0,39.0,107.0,0.1,17.50900000000001,0.0,0.0,4.1217310428619385,,,,,,,,,,,,,,,,,,,,,6.7387075855117775,5.755468290477463,17.280734592615687,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,141.0,3.0,34.0,141.0,0.1,14.008999999999995,0.0,0.0,7.521894454956055,,,,,,,,,,,,,,,,,,,,,5.798382329987236,4.960517208707245,13.839520201663563,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,191.0,4.0,50.0,191.0,0.1,23.012000000000015,0.0,0.0,12.64802360534668,,,,,,,,,,,,,,,,,,,,,8.499555173013714,7.575719479301271,22.632264137359897,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,219.0,5.0,28.0,219.0,0.1,11.006999999999996,0.0,0.0,15.638200521469116,,,,,,,,,,,,,,,,,,,,,4.688240438594792,3.889814089822029,10.89751339699995,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,241.0,6.0,22.0,241.0,0.1,7.506000000000002,0.0,0.0,18.055041074752808,,,,,,,,,,,,,,,,,,,,,3.0580501072638926,2.6726528551400217,7.4536226893962985,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,268.0,7.0,27.0,268.0,0.1,9.506999999999996,0.0,0.0,20.771241188049316,,,,,,,,,,,,,,,,,,,,,3.8520018801838662,3.3246159978226775,9.42183018778041,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,296.0,8.0,28.0,296.0,0.1,11.506999999999996,0.0,0.0,23.648188591003418,,,,,,,,,,,,,,,,,,,,,4.866028325633221,4.096708086421558,11.393526867089584,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,323.0,9.0,27.0,323.0,0.1,11.006999999999996,0.0,0.0,26.480661630630493,,,,,,,,,,,,,,,,,,,,,4.165892452314921,3.7622041107510498,10.916342672790408,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,344.0,10.0,21.0,344.0,0.1,7.506000000000002,0.0,0.0,28.58984375,,,,,,,,,,,,,,,,,,,,,2.9203778710761297,2.6587199267427057,7.459583772668967,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,384.0,11.0,40.0,384.0,0.1,19.00700000000001,0.0,0.0,32.55085039138794,,,,,,,,,,,,,,,,,,,,,7.725840466838053,6.120941421767546,18.735418482873747,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,412.0,12.0,28.0,412.0,0.1,11.006999999999996,0.0,0.0,35.36081004142761,,,,,,,,,,,,,,,,,,,,,4.31723596819019,3.7788320789243044,10.907922329627604,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,464.0,13.0,52.0,464.0,0.1,27.006000000000007,0.0,0.0,40.46621656417847,,,,,,,,,,,,,,,,,,,,,12.768958211909172,8.499975867814541,26.39477733286913,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,497.0,14.0,33.0,497.0,0.1,14.006999999999996,0.0,0.0,43.814082622528076,,,,,,,,,,,,,,,,,,,,,6.015779126381103,4.77330114968086,13.836137728147992,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,530.0,15.0,33.0,530.0,0.1,13.510999999999994,0.0,0.0,47.29424810409546,,,,,,,,,,,,,,,,,,,,,4.615079353148869,4.755126523840236,13.38545991571761,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
