Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,111.0,1.0,111.0,111.0,0.1,78.5,0.0,0.0,0.014381170272827148,,,,,,,,,,,,,,,,,,,,,40.87057913656846,19.960003244616505,74.1115146335935,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,172.0,2.0,61.0,172.0,0.1,36.5,0.0,0.0,6.04098916053772,,,,,,,,,,,,,,,,,,,,,20.890794155359043,9.454584442502172,35.296218697699814,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,224.0,3.0,52.0,224.0,0.1,33.0,0.0,0.0,11.349567651748657,,,,,,,,,,,,,,,,,,,,,19.03636806488591,8.598376645165583,32.074225236874454,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,264.0,4.0,40.0,264.0,0.1,27.5,0.0,0.0,15.249634027481079,,,,,,,,,,,,,,,,,,,,,16.50210566381728,7.612810554544413,26.893676232235546,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,285.0,5.0,21.0,285.0,0.1,20.0,0.0,0.0,17.826593160629272,,,,,,,,,,,,,,,,,,,,,10.879394701925847,5.917031227045531,19.811135170465317,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,307.0,6.0,22.0,307.0,0.1,21.0,0.0,0.0,20.218071460723877,,,,,,,,,,,,,,,,,,,,,11.374446429622834,6.203016943672681,20.791324035294853,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,334.0,7.0,27.0,334.0,0.1,26.0,0.0,0.0,23.06067442893982,,,,,,,,,,,,,,,,,,,,,13.84238433687256,7.625103046564891,25.677585115550432,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,392.0,8.0,58.0,392.0,0.1,48.0,0.0,0.0,28.84948420524597,,,,,,,,,,,,,,,,,,,,,21.434324908694233,14.622539506896917,46.8504632312951,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,416.0,9.0,24.0,416.0,0.1,13.5,0.0,0.0,31.451642513275146,,,,,,,,,,,,,,,,,,,,,6.535013146367238,3.898371307994772,13.36988608677465,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,475.0,10.0,59.0,475.0,0.1,35.5,0.0,0.0,37.45438575744629,,,,,,,,,,,,,,,,,,,,,20.39459834407118,9.215412365792321,34.36541516260987,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,513.0,11.0,38.0,513.0,0.1,36.5,0.0,0.0,41.37851810455322,,,,,,,,,,,,,,,,,,,,,19.209031012902724,10.67542188259991,35.84170438858248,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,540.0,12.0,27.0,540.0,0.1,25.0,0.0,0.0,44.272276878356934,,,,,,,,,,,,,,,,,,,,,13.749865799835524,7.487649331490005,24.678085115550434,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,590.0,13.0,50.0,590.0,0.1,33.5,0.0,0.0,49.40133571624756,,,,,,,,,,,,,,,,,,,,,19.243341016841786,8.768031434568107,32.603006358869294,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,626.0,14.0,36.0,626.0,0.1,27.0,0.0,0.0,53.213762283325195,,,,,,,,,,,,,,,,,,,,,15.718366587505162,7.49604556555729,26.48708648874081,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,657.0,15.0,31.0,657.0,0.1,30.0,0.0,0.0,56.39831233024597,,,,,,,,,,,,,,,,,,,,,15.808895468607638,8.754697911178457,29.56903273691426,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,700.0,16.0,43.0,700.0,0.1,29.5,0.0,0.0,60.69871139526367,,,,,,,,,,,,,,,,,,,,,12.801459725720813,8.594296128673196,29.007523270812356,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,726.0,17.0,26.0,726.0,0.1,13.0,0.0,0.0,63.45325326919556,,,,,,,,,,,,,,,,,,,,,6.713297491637006,3.7321056426871047,12.851143701476692,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,753.0,18.0,27.0,753.0,0.1,26.0,0.0,0.0,66.23616814613342,,,,,,,,,,,,,,,,,,,,,13.84238433687256,7.625103046564891,25.677585115550432,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,823.0,19.0,70.0,823.0,0.1,55.5,0.0,0.0,73.32780027389526,,,,,,,,,,,,,,,,,,,,,23.99781735002559,16.615321072285045,53.927954767077615,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,860.0,20.0,37.0,860.0,0.1,19.5,0.0,0.0,77.22238087654114,,,,,,,,,,,,,,,,,,,,,9.494963794663642,5.41690892353499,19.187041235026264,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,32.0,1.0,32.0,892.0,0.1,17.0,0.0,0.0,220.18779587745667,,,,,,,,,,,,,,,,,,,,,8.336964043145482,4.810360720506691,16.766733851588672,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,61.0,2.0,29.0,921.0,0.1,27.0,0.0,0.0,223.28990387916565,,,,,,,,,,,,,,,,,,,,,14.74031939950845,8.061542660495967,26.62575562290445,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,91.0,3.0,30.0,951.0,0.1,28.5,0.0,0.0,226.5733950138092,,,,,,,,,,,,,,,,,,,,,15.284559860755312,8.421507338788285,28.097630367281543,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,127.0,4.0,36.0,987.0,0.1,31.5,0.0,0.0,230.25289940834045,,,,,,,,,,,,,,,,,,,,,17.773265235569035,9.492037455786775,30.92197548050505,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,151.0,5.0,24.0,1011.0,0.1,23.0,0.0,0.0,232.91896677017212,,,,,,,,,,,,,,,,,,,,,12.363024876942516,6.773335067671606,22.7487621785483,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,174.0,6.0,23.0,1034.0,0.1,22.0,0.0,0.0,235.5209515094757,,,,,,,,,,,,,,,,,,,,,11.868981896967421,6.488440623754929,21.77053271125956,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,194.0,7.0,20.0,1054.0,0.1,19.0,0.0,0.0,237.63338923454285,,,,,,,,,,,,,,,,,,,,,10.383798235257398,5.630444684227632,18.82996513560092,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,223.0,8.0,29.0,1083.0,0.1,28.0,0.0,0.0,240.60942816734314,,,,,,,,,,,,,,,,,,,,,14.826457347784313,8.19072034705883,27.625255622904447,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,254.0,9.0,31.0,1114.0,0.1,17.5,0.0,0.0,243.85263013839722,,,,,,,,,,,,,,,,,,,,,8.226464427513609,4.880095900316483,17.279521365957635,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
