Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,29.0,1.0,29.0,29.0,0.1,12.005799999999999,0.0,0.0,0.01400613784790039,,,,,,,,,,,,,,,,,,,,,5.3133384594033695,4.112122105813698,11.875452213652396,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,71.0,2.0,42.0,71.0,0.1,17.007400000000015,0.0,0.0,4.49475359916687,,,,,,,,,,,,,,,,,,,,,7.344324235531525,5.738618156808783,16.732386422566385,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,123.0,3.0,52.0,123.0,0.1,24.20520000000001,0.0,0.0,9.596289157867432,,,,,,,,,,,,,,,,,,,,,10.468265869826153,7.551371126970052,23.708242952430954,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,161.0,4.0,38.0,161.0,0.1,15.805400000000002,0.0,0.0,13.447203159332275,,,,,,,,,,,,,,,,,,,,,7.346809604190732,5.18014819316166,15.557320318357151,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,201.0,5.0,40.0,201.0,0.1,14.9098,0.0,0.0,17.457767963409424,,,,,,,,,,,,,,,,,,,,,5.639406891721222,4.917307941744677,14.713636283261392,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,227.0,6.0,26.0,227.0,0.1,10.006199999999998,0.0,0.0,20.21749496459961,,,,,,,,,,,,,,,,,,,,,4.099279958431551,3.4974001803496058,9.919447697027136,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,256.0,7.0,29.0,256.0,0.1,11.506599999999999,0.0,0.0,23.208555459976196,,,,,,,,,,,,,,,,,,,,,4.643572805731368,4.112636128427201,11.394714422764896,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,295.0,8.0,39.0,295.0,0.1,17.007400000000015,0.0,0.0,27.093366146087646,,,,,,,,,,,,,,,,,,,,,7.0762937983149685,5.643821505944656,16.764937652232533,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,321.0,9.0,26.0,321.0,0.1,9.9058,0.0,0.0,29.822158098220825,,,,,,,,,,,,,,,,,,,,,3.9009842983862937,3.4511768049649243,9.824012609448243,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,344.0,10.0,23.0,344.0,0.1,7.205400000000002,0.0,0.0,32.269442558288574,,,,,,,,,,,,,,,,,,,,,2.924097058978504,2.556763521944609,7.152443502204402,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,377.0,11.0,33.0,377.0,0.1,11.7076,0.0,0.0,35.6276330947876,,,,,,,,,,,,,,,,,,,,,4.586652860246986,4.098595670988637,11.579387651527254,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,406.0,12.0,29.0,406.0,0.1,9.407399999999999,0.0,0.0,38.537744760513306,,,,,,,,,,,,,,,,,,,,,3.7299607778210473,3.3484825889208207,9.317857534654966,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,460.0,13.0,54.0,460.0,0.1,21.008400000000012,0.0,0.0,44.01956558227539,,,,,,,,,,,,,,,,,,,,,9.245852100568925,6.907632550254801,20.550203844053545,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,484.0,14.0,24.0,484.0,0.1,9.5052,0.0,0.0,46.650479555130005,,,,,,,,,,,,,,,,,,,,,3.7960924721950042,3.322767672627752,9.4329502482135,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,509.0,15.0,25.0,509.0,0.1,9.7046,0.0,0.0,49.145851612091064,,,,,,,,,,,,,,,,,,,,,4.4035367367208975,3.3690000871453267,9.613729426705964,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,550.0,16.0,41.0,550.0,0.1,15.608999999999998,0.0,0.0,53.17893362045288,,,,,,,,,,,,,,,,,,,,,6.078506408094252,5.414743584875689,15.3905469406024,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,584.0,17.0,34.0,584.0,0.1,12.308,0.0,0.0,56.69904184341431,,,,,,,,,,,,,,,,,,,,,4.795306307738519,4.244576748700145,12.169285988227355,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,612.0,18.0,28.0,612.0,0.1,11.105599999999999,0.0,0.0,59.57796764373779,,,,,,,,,,,,,,,,,,,,,4.556132937357654,3.8147501939412987,11.0000173123614,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,635.0,19.0,23.0,635.0,0.1,7.706600000000003,0.0,0.0,61.96964192390442,,,,,,,,,,,,,,,,,,,,,3.1025905580699344,2.763079820153063,7.650533834299155,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,697.0,20.0,62.0,697.0,0.1,24.414400000000022,0.0,0.0,68.16643381118774,,,,,,,,,,,,,,,,,,,,,8.767553738657003,8.01979022200752,23.91862499957743,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,34.0,1.0,34.0,731.0,0.1,14.505400000000003,0.0,0.0,179.239355802536,,,,,,,,,,,,,,,,,,,,,6.017092570834957,4.798571909336234,14.329463450028221,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,77.0,2.0,43.0,774.0,0.1,15.810599999999997,0.0,0.0,183.60706233978271,,,,,,,,,,,,,,,,,,,,,6.288102683384852,5.4713785545074405,15.571338690657075,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,107.0,3.0,30.0,804.0,0.1,12.0068,0.0,0.0,186.54923176765442,,,,,,,,,,,,,,,,,,,,,4.684506407180183,4.317119804961166,11.89003298371905,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,137.0,4.0,30.0,834.0,0.1,11.405800000000001,0.0,0.0,189.62722849845886,,,,,,,,,,,,,,,,,,,,,4.644357098094786,3.88024864912862,11.289036070161409,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,164.0,5.0,27.0,861.0,0.1,9.107799999999997,0.0,0.0,192.40548753738403,,,,,,,,,,,,,,,,,,,,,3.5882753797637275,3.2029484379418074,9.028965466714341,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,195.0,6.0,31.0,892.0,0.1,11.4072,0.0,0.0,195.58633637428284,,,,,,,,,,,,,,,,,,,,,4.409716708435759,3.8719859469954554,11.293073636237335,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,220.0,7.0,25.0,917.0,0.1,7.905200000000002,0.0,0.0,198.2172417640686,,,,,,,,,,,,,,,,,,,,,3.3206306121351576,2.784077765597044,7.837852101046615,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,304.0,8.0,84.0,1001.0,0.1,39.90519999999996,0.0,0.0,206.58452320098877,,,,,,,,,,,,,,,,,,,,,18.571390295076043,11.895484313656585,38.42200881082647,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,362.0,9.0,58.0,1059.0,0.1,26.506800000000002,0.0,0.0,212.48462390899658,,,,,,,,,,,,,,,,,,,,,11.637690737833607,8.318387137221562,25.88355516397844,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,384.0,10.0,22.0,1081.0,0.1,7.605400000000002,0.0,0.0,214.77911853790283,,,,,,,,,,,,,,,,,,,,,3.112098850811709,2.778988646721054,7.552030333919649,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,472.0,11.0,88.0,1169.0,0.1,39.80639999999996,0.0,0.0,223.75834274291992,,,,,,,,,,,,,,,,,,,,,17.939752748882324,12.154177397544473,38.30427199782201,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
